Filialname,Straße,Postleitzahl Ort,Offen/Geschlossen(0/1)
Galeria Kaufhof,Schusterstr. 41-45,55116 Mainz,0
Galeria Karstadt,Ludwigsstr. 12,55116 Mainz,1
Galeria Kaufhof,Mannheimer Straße 152,55543 Bad Kreuznach,0
Galeria Kaufhof,Löhrstraße 77-85,56068 Koblenz,0
Galeria Karstadt,Kölner Str. 41,57072 Siegen,0
Galeria Kaufhof,Elberfelder Str. 23-25,58095 Hagen,0
Galeria Kaufhof,Bahnhofstr. 5,58452 Witten,1
Galeria Karstadt,Schillerplatz 8-10,58636 Iserlohn,1
Galeria Kaufhof,Bahnhofstr. 6-12,59065 Hamm,1
Galeria Kaufhof,Zeil 116 - 126,60313 Frankfurt,0
Galeria Karstadt,Zeil 90,60313 Frankfurt am Main,1
Galeria Kaufhof,Borsigallee 26,60388 Frankfurt,1
Galeria Karstadt,Louisenstr. 91-95,61348 Bad Homburg,0
Galeria Kaufhof,Frankfurter Str. 12-16,63065 Offenbach,0
Galeria Kaufhof,Am Markt 2,63450 Hanau,0
Galeria Kaufhof,Fabrikstr. 1 c,63739 Aschaffenburg,0
Galeria Karstadt,Elisabethenstr. 15,64283 Darmstadt,0
Galeria Kaufhof,Rheinstraße 2,64283 Darmstadt,0
Galeria Karstadt,Kirchgasse 35-43,65185 Wiesbaden,0
Galeria Kaufhof,Kirchgasse 28,65185 Wiesbaden,0
Galeria Karstadt,Werner-Senger-Str. 15-17,65549 Limburg an der Lahn,0
Galeria Kaufhof,Main-Taunus-Zentrum,65843 Sulzbach,0
Galeria Karstadt,Main-Taunus-Zentrum,65843 Sulzbach,1
Galeria Karstadt,Bahnhofstr. 15,66111 Saarbrücken,0
Galeria Kaufhof,Bahnhofstraße 82-100,66111 Saarbrücken,0
Galeria Kaufhof,Stummstraße 3-9,66538 Neunkirchen,0
Galeria Kaufhof,Maximilianstr. 43,67346 Speyer,0
Galeria Kaufhof,Kämmererstr. 24-32,67547 Worms,1
Galeria Kaufhof,"N7, 2a-4",68161 Mannheim,1
Galeria Kaufhof,"P 1, 1",68161 Mannheim,0
Galeria Karstadt,Robert-Schuman-Str. 2,68519 Viernheim,0
Galeria Kaufhof,Bergheimer Straße 1,69115 Heidelberg,0
Galeria Kaufhof,Hauptstr. 30,69117 Heidelberg,0
Galeria Kaufhof,Eberhardstr. 28,70173 Stuttgart,0
Galeria Kaufhof,Königstr. 6,70173 Stuttgart,0
Galeria Kaufhof,Badstr. 8 - 12,70372 Stuttgart,1
Galeria Karstadt,Leonberger Str. 110,71229 Leonberg,1
Galeria Kaufhof,Karlstr. 20,72764 Reutlingen,0
Galeria Kaufhof,Bleichstr. 15,73033 Göppingen,1
Galeria Karstadt,Bahnhofstr. 14,73728 Esslingen,0
Galeria Kaufhof,Fleinerstraße 15,74072 Heilbronn,0
Galeria Kaufhof,Westliche Karl-Friedrich-Str. 17-19,75172 Pforzheim,0
Galeria Karstadt,Kaiserstr. 147-159,76133 Karlsruhe,0
Galeria Kaufhof,Ostbahnstraße 36,76829 Landau,1
Galeria Karstadt,Lindenplatz 3,77652 Offenburg,0
Galeria Karstadt,Bahnhofstr. 19-21,78224 Singen,1
Galeria Karstadt,Hussenstr. 23,78462 Konstanz,0
Galeria Kaufhof,Kaiser-Joseph-Str. 195,79098 Freiburg,0
Galeria Karstadt,Kaiser-Joseph-Str. 165,79098 Freiburg,0
Galeria Karstadt,Turmstr. 1,79539 Lörrach,0
Galeria Kaufhof,Kaufinger Straße 1-5,80331 München,0
Galeria Karstadt,Bahnhofplatz 7,80335 München,0
Galeria Kaufhof,Karlsplatz 21-24,80335 München,1
Galeria Kaufhof,Pötschnerstraße 5,80634 München,0
Galeria Karstadt,Schleißheimer Str. 93,80797 München,1
Galeria Karstadt,Leopoldstr. 82,80802 München,0
Galeria Kaufhof,Pelkovenstr. 155,80992 München,0
Galeria Karstadt,Riesstraße 61,80993 München,1
Galeria Karstadt,Münchener Str. 12,83022 Rosenheim,0
Galeria Karstadt,Ländtorplatz 1,84028 Landshut,0
Galeria Kaufhof,Ludwigstr. 29,85049 Ingolstadt,1
Galeria Karstadt,Bürgermeister-Fischer-Str. 6-10,86150 Augsburg,0
Galeria Kaufhof,Residenzplatz 2,87435 Kempten,0
Galeria Karstadt,Königsgraben 3,87700 Memmingen,0
Galeria Kaufhof,Bahnhofstr. 5,89073 Ulm,0
Galeria Karstadt,Königstr. 14,90402 Nürnberg,1
Galeria Kaufhof,Königstraße 42-52,90402 Nürnberg,0
Galeria Karstadt,Reichthaler Str. 10,90473 Nürnberg,1
Galeria Kaufhof,Nürnberger Str. 30,91052 Erlangen,0
Galeria Kaufhof,Am Rathaus 1,9111 Chemnitz,1
Galeria Kaufhof,Neupfarrplatz 8,93047 Regensburg,0
Galeria Kaufhof,Weichser Weg 5,93059 Regensburg,0
Galeria Karstadt,Maximilianstr. 40-42,95444 Bayreuth,0
Galeria Karstadt,Grüner Markt 23,96047 Bamberg,0
Galeria Kaufhof,Mohrenstr. 17 - 19,96450 Coburg,0
Galeria Kaufhof,Schönbornstr. 3,97070 Würzburg,0
Galeria Kaufhof,Juliuspromenade 68,97070 Würzburg,0
Galeria Kaufhof,Jägersbrunnen 11,97421 Schweinfurt,0
Galeria Karstadt,Anger 1-3,99084 Erfurt,0
